date,Leave,clicks,conversions,sales
2022-08-19,1.0,0,0,0.0
2022-08-19,8.0,1,0,0.0
2022-08-19,14.0,1,0,0.0
2022-08-19,22.0,0,0,0.0
2022-08-20,1.0,0,0,0.0
2022-08-20,8.0,8,0,0.0
2022-08-20,14.0,0,0,0.0
2022-08-20,22.0,2,0,0.0
2022-08-21,1.0,1,0,0.0
2022-08-21,8.0,12,0,0.0
2022-08-21,14.0,0,0,0.0
2022-08-21,19.0,0,0,0.0
2022-08-21,22.0,1,0,0.0
2022-08-22,1.0,0,0,0.0
2022-08-22,8.0,0,0,0.0
2022-08-22,14.0,0,0,0.0
2022-08-22,19.0,0,0,0.0
2022-08-22,22.0,0,0,0.0
2022-08-23,1.0,0,0,0.0
2022-08-23,8.0,0,0,0.0
2022-08-23,14.0,2,0,0.0
2022-08-23,22.0,0,0,0.0
2022-08-24,1.0,0,0,0.0
2022-08-24,8.0,0,0,0.0
2022-08-24,14.0,0,0,0.0
2022-08-24,19.0,0,0,0.0
2022-08-24,22.0,0,0,0.0
2022-08-25,1.0,0,0,0.0
2022-08-25,8.0,0,0,0.0
2022-08-25,14.0,0,0,0.0
2022-08-25,22.0,1,1,15.94
2022-08-26,1.0,0,0,0.0
2022-08-26,8.0,0,0,0.0
2022-08-26,13.0,0,0,0.0
2022-08-26,14.0,0,0,0.0
2022-08-26,22.0,1,0,0.0
2022-08-27,1.0,1,0,0.0
2022-08-27,8.0,0,0,0.0
2022-08-27,14.0,0,0,0.0
2022-08-27,19.0,1,1,15.94
2022-08-27,22.0,0,0,0.0
2022-08-28,1.0,0,0,0.0
2022-08-28,8.0,0,0,0.0
2022-08-28,14.0,0,0,0.0
2022-08-28,19.0,0,0,0.0
2022-08-28,22.0,0,0,0.0
2022-08-29,1.0,0,0,0.0
2022-08-29,8.0,0,0,0.0
2022-08-29,14.0,0,0,0.0
2022-08-29,22.0,0,0,0.0
2022-08-30,1.0,0,0,0.0
2022-08-30,8.0,0,0,0.0
2022-08-30,14.0,1,0,0.0
2022-08-30,22.0,0,0,0.0
2022-08-31,1.0,0,0,0.0
2022-08-31,8.0,0,0,0.0
2022-08-31,14.0,0,0,0.0
2022-08-31,19.0,3,1,15.94
2022-08-31,22.0,0,0,0.0
2022-09-01,1.0,0,0,0.0
2022-09-01,8.0,0,0,0.0
2022-09-01,14.0,0,0,0.0
2022-09-01,19.0,0,0,0.0
2022-09-01,22.0,0,0,0.0
2022-09-02,1.0,2,1,15.94
2022-09-02,8.0,0,0,0.0
2022-09-02,14.0,1,1,15.94
2022-09-02,22.0,0,0,0.0
2022-09-03,1.0,0,0,0.0
2022-09-03,8.0,1,1,15.94
2022-09-03,14.0,0,0,0.0
2022-09-03,19.0,3,1,15.94
2022-09-03,22.0,1,0,0.0
